"","filename","sentence","index","date","title","publication","filepath"
"1","moley_1.txt","17. 'Not My Fault'",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"2","moley_1.txt","Jun 22, 2008       The New York Times Section BR; Column 0; Book Review Desk; Pg. 23;",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"3","moley_1.txt","ESSAY       By JACOB HEILBRUNN Jacob Heilbrunn, a regular contributor to the Book",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"4","moley_1.txt","Review, is the author of ''They Knew They Were Right: The Rise of the Neocons.''",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"5","moley_1.txt","            | About LexisNexis | Privacy Policy | Terms & Conditions | Copyright © 2020 LexisNexis",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"6","moley_1.txt","18. Ghost Stories",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"7","moley_1.txt","May 01, 2010      The American Prospect CULTURE & BOOKS; Media; Pg. 45;",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"8","moley_1.txt","VOLUME 21; NUMBER 4 CRAIG FEHRMAN Craig Fehrman is working on a book about",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"9","moley_1.txt","presidents and their books.",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"10","moley_1.txt","19. ON LANGUAGE; SHOO-IN",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"11","moley_1.txt","Oct 07, 1984      The New York Times Section 6; Page 18, Column 3; Magazine Desk",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"12","moley_1.txt","    By William Safire",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"13","moley_1.txt","20. 100 YEARS OF EXPERTS ARMED WITH MONEY ...SURE DIDN'T DO MUCH FOR",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"14","moley_1.txt","CLEVELAND",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"15","moley_1.txt","Apr 15, 2014        States News Service States News Service",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"16","moley_1.txt","21. TEAM OF RIVALS REDUX",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"17","moley_1.txt","Apr 01, 2009      The American Prospect        CULTURE & BOOKS; Books; Pg. 37;",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"18","moley_1.txt","VOLUME 20; NUMBER 3 LIZABETH COHEN Lizabeth Cohen, chair of the history",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"19","moley_1.txt","department at Harvard University , is the author of Making a New Deal: Industrial Workers",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"20","moley_1.txt","in Chicago, 1919-1939 and A Consumers' Republic: The Politics of Mass Consumption in",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"21","moley_1.txt","Postwar America .",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"22","moley_1.txt","22. G-20: GHOSTS OF CONFERENCES PAST",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"23","moley_1.txt","Mar 23, 2009        States News Service States News Service",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"24","moley_1.txt","23. WEDDINGS; Janis H. Moley And Jed McCarthy",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"25","moley_1.txt","Jun 11, 1995        The New York Times Section 1;; Section 1; Page 56; Column 2; Society",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"26","moley_1.txt","Desk; Column 2;",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"27","moley_1.txt","24. The 5 Best Inaugural Addresses",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"28","moley_1.txt","Jan 18, 2013        USNEWS.com OPINION; Vol.; No.         Robert Schlesinger",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"29","moley_1.txt","25. FIGHTING WORDS; The White House memoir grows claws.",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"30","moley_1.txt","Jul 14, 2003        The New Yorker         THE CRITICS; Books; Pg. 94 WALTER ISAACSON",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"31","moley_1.txt","26. Squandering Prosperity; George W. Bush has the worst economic record of any",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"32","moley_1.txt","president since Herbert Hoover. But can the Democrats exploit that at all?",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"33","moley_1.txt","Jun 01, 2003  The American Prospect     FEATURES; Pg. 26                  BY HAROLD",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"34","moley_1.txt","MEYERSON; HAROLD MEYERSON is the Prospect's editor at large.",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"35","moley_1.txt","27. FDR against the Bill of Rights",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"36","moley_1.txt","            | About LexisNexis | Privacy Policy | Terms & Conditions | Copyright © 2020 LexisNexis",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"37","moley_1.txt","Jan 05, 2024      Newstex Blogs           David Gordon",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"38","moley_1.txt","28. The New Deal and Recovery, Part 2: Inventing the New Deal",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"39","moley_1.txt","Jun 22, 2020      Newstex Blogs           George Selgin",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"40","moley_1.txt","29. The Federal Reserves Magic Money",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"41","moley_1.txt","Nov 14, 2010      Newstex Blogs",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"42","moley_1.txt","30. The New Deal and Recovery, Part 12: Fear Itself",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"43","moley_1.txt","Apr 14, 2021      Newstex Blogs           George Selgin",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"44","moley_1.txt","31. Victory Speeches",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"45","moley_1.txt","Nov 07, 2012      The New York Times Blogs        OPINION        ROBERT LEHRMAN",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
"46","moley_1.txt","32. The New Deal and Recovery, Part 15: The Keynesian Myth",1,2021-07-14,"Loose Ends (134)","     Power Line","../completed_homework/moley_1.txt"
